Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
1/1/20,36,PM2.5,Intermediate School 143,36-061-0115,AQS,5,30,4,36,33
1/2/20,56,PM2.5,Intermediate School 143,36-061-0115,AQS,13,27,.,56,43
1/3/20,68,PM2.5,Fort Lee Near Road,34-003-0010,AQS,13,19,.,68,36
1/4/20,63,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,28,13,63,28
1/5/20,37,PM2.5,CCNY,36-061-0135,AQS,6,33,.,37,28
1/6/20,47,PM2.5,Intermediate School 143,36-061-0115,AQS,7,28,.,47,38
1/7/20,72,PM2.5,RICHMOND POST OFFICE,36-085-0055,AQS,8,24,17,72,43
1/8/20,47,PM2.5,Intermediate School 143,36-061-0115,AQS,7,33,.,47,33
1/9/20,43,PM2.5,Intermediate School 143,36-061-0115,AQS,9,29,.,43,40
1/10/20,50,PM2.5,Intermediate School 143,36-061-0115,AQS,10,28,21,50,41
1/11/20,52,PM2.5,PS 274,36-047-0118,AQS,8,34,.,52,39
1/12/20,40,PM2.5,Intermediate School 143,36-061-0115,AQS,5,32,.,40,21
1/13/20,80,NO2,Jersey City,34-017-1002,AQS,10,21,23,51,80
1/14/20,60,PM2.5,Fort Lee Near Road,34-003-0010,AQS,13,12,.,60,35
1/15/20,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,28,.,62,45
1/16/20,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,31,12,55,27
1/17/20,37,PM2.5,Intermediate School 143,36-061-0115,AQS,3,37,.,37,20
1/18/20,42,NO2,IS 52,36-005-0110,AQS,9,32,.,32,42
1/19/20,40,PM2.5,Intermediate School 143,36-061-0115,AQS,9,34,6,40,22
1/20/20,39,Ozone,Chester,34-027-3001,AQS,3,39,.,34,20
1/21/20,46,NO2,Queens College Near Road,36-081-0125,AQS,6,38,.,45,46
1/22/20,61,NO2,IS 52,36-005-0110,AQS,13,31,28,56,61
1/23/20,79,PM2.5,Jersey City Firehouse,34-017-1003,AQS,16,29,.,79,67
1/24/20,87,PM2.5,Elizabeth Lab,34-039-0004,AQS,23,24,.,87,74
1/25/20,50,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,33,11,50,37
1/26/20,32,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,23,.,32,25
1/27/20,35,PM2.5,Intermediate School 143,36-061-0115,AQS,9,26,.,35,27
1/28/20,36,Ozone,Rockland County,36-087-0005,AQS,5,36,5,30,31
1/29/20,37,Ozone,Chester,34-027-3001,AQS,5,37,.,29,33
1/30/20,48,NO2,Newark Firehouse,34-013-0003,AQS,8,32,.,40,48
1/31/20,57,PM2.5,NEWBURGH,36-071-0002,AQS,14,30,19,57,57
2/1/20,70,PM2.5,IS 52,36-005-0110,AQS,9,29,.,70,46
2/2/20,57,PM2.5,IS 52,36-005-0110,AQS,8,28,.,57,28
2/3/20,54,PM2.5,Newark Firehouse,34-013-0003,AQS,13,34,19,54,51
2/4/20,68,PM2.5,Fort Lee Near Road,34-003-0010,AQS,17,33,.,68,51
2/5/20,35,NO2,QUEENS COLLEGE 2,36-081-0124,AQS,14,33,.,31,35
2/6/20,52,PM2.5,JHS 126,36-047-0122,AQS,11,29,9,52,42
2/7/20,45,NO2,Elizabeth Lab,34-039-0004,AQS,10,34,.,38,45
2/8/20,47,PM2.5,Intermediate School 143,36-061-0115,AQS,6,35,.,47,42
2/9/20,54,PM2.5,Newark Firehouse,34-013-0003,AQS,7,37,15,54,42
2/10/20,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,35,.,45,36
2/11/20,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,32,.,53,53
2/12/20,45,PM2.5,IS 52,36-005-0110,AQS,6,36,9,45,30
2/13/20,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS,7,32,.,48,45
2/14/20,34,PM2.5,Intermediate School 143,36-061-0115,AQS,5,34,.,34,30
2/15/20,52,PM2.5,DIVISION STREET,36-061-0134,AQS,7,33,10,52,27
2/16/20,53,PM2.5,Jersey City Firehouse,34-017-1003,AQS,13,31,.,53,50
2/17/20,55,PM2.5,Newark Firehouse,34-013-0003,AQS,15,38,.,55,48
2/18/20,55,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,35,.,55,52
2/19/20,40,PM2.5,Newark Firehouse,34-013-0003,AQS,7,39,.,40,35
2/20/20,38,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,3,38,.,30,26
2/21/20,41,PM2.5,DIVISION STREET,36-061-0134,AQS,7,39,10,41,34
2/22/20,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,40,.,46,45
2/23/20,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,44,.,54,51
2/24/20,69,PM2.5,IS 52,36-005-0110,AQS,11,42,30,69,60
2/25/20,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,31,.,62,44
2/26/20,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS,6,40,.,54,47
2/27/20,39,Ozone,MILLBROOK,36-027-0007,AQS,5,39,6,33,30
2/28/20,39,Ozone,MT NINHAM,36-079-0005,AQS,5,39,.,35,27
2/29/20,36,Ozone,MILLBROOK,36-027-0007,AQS,5,36,.,30,16
3/1/20,47,NO2,QUEENS COLLEGE 2,36-081-0124,AQS,6,41,6,32,47
3/2/20,61,PM2.5,Newark Firehouse,34-013-0003,AQS,9,47,.,61,50
3/3/20,57,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,41,.,57,57
3/4/20,39,Ozone,Chester,34-027-3001,AQS,5,39,7,32,25
3/5/20,37,Ozone,MILLBROOK,36-027-0007,AQS,7,37,.,35,37
3/6/20,57,NO2,Queens College Near Road,36-081-0125,AQS,8,40,.,45,57
3/7/20,40,Ozone,Chester,34-027-3001,AQS,6,40,5,24,21
3/8/20,41,Ozone,MILLBROOK,36-027-0007,AQS,8,41,.,30,40
3/9/20,50,PM2.5,Queens College Near Road,36-081-0125,AQS,13,48,.,50,42
3/10/20,48,PM2.5,Intermediate School 143,36-061-0115,AQS,9,39,22,48,43
3/11/20,45,NO2,Newark Firehouse,34-013-0003,AQS,7,37,.,29,45
3/12/20,56,NO2,IS 52,36-005-0110,AQS,9,36,.,52,56
3/13/20,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,42,.,46,44
3/14/20,39,Ozone,Colliers Mills,34-029-0006,AQS,3,39,.,22,16
3/15/20,41,Ozone,MILLBROOK,36-027-0007,AQS,3,41,.,25,28
3/16/20,40,Ozone,Chester,34-027-3001,AQS,6,40,16,25,39
3/17/20,39,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,36,.,39,34
3/18/20,42,Ozone,Monmouth University,34-025-0005,AQS,7,42,.,37,41
3/19/20,42,NO2,Elizabeth Lab,34-039-0004,AQS,8,36,6,40,42
3/20/20,63,PM2.5,Fort Lee Near Road,34-003-0010,AQS,10,38,.,63,37
3/21/20,41,Ozone,Leonia,34-003-0006,AQS,7,41,.,30,13
3/22/20,41,Ozone,MT NINHAM,36-079-0005,AQS,6,41,.,32,18
3/23/20,38,Ozone,RIVERHEAD,36-103-0004,AQS,8,38,.,22,38
3/24/20,39,Ozone,BABYLON,36-103-0002,AQS,8,39,.,27,30
3/25/20,39,Ozone,RIVERHEAD,36-103-0004,AQS,8,39,.,32,35
3/26/20,44,Ozone,MT NINHAM,36-079-0005,AQS,9,44,.,36,44
3/27/20,46,NO2,Bayonne,34-017-0006,AQS,10,44,.,33,46
3/28/20,42,Ozone,RIVERHEAD,36-103-0004,AQS,9,42,.,38,34
3/29/20,42,Ozone,RIVERHEAD,36-103-0004,AQS,9,42,.,23,16
3/30/20,42,PM2.5,Elizabeth Lab,34-039-0004,AQS,11,37,.,42,36
3/31/20,41,Ozone,RIVERHEAD,36-103-0004,AQS,7,41,.,23,28
4/1/20,43,Ozone,MILLBROOK,36-027-0007,AQS,6,43,.,26,32
4/2/20,41,Ozone,Flemington,34-019-0001,AQS,5,41,.,21,24
4/3/20,36,Ozone,RIVERHEAD,36-103-0004,AQS,5,36,.,14,12
4/4/20,40,Ozone,BABYLON,36-103-0002,AQS,7,40,.,20,20
4/5/20,52,PM2.5,Jersey City Firehouse,34-017-1003,AQS,8,41,.,52,39
4/6/20,43,Ozone,Chester,34-027-3001,AQS,9,43,.,36,34
4/7/20,50,Ozone,Chester,34-027-3001,AQS,6,50,.,34,39
4/8/20,50,PM2.5,IS 52,36-005-0110,AQS,6,44,.,50,31
4/9/20,43,Ozone,Chester,34-027-3001,AQS,5,43,.,31,38
4/10/20,38,Ozone,RIVERHEAD,36-103-0004,AQS,2,38,.,19,16
4/11/20,43,Ozone,Leonia,34-003-0006,AQS,3,43,.,28,35
4/12/20,47,Ozone,Chester,34-027-3001,AQS,8,47,.,45,45
4/13/20,45,Ozone,RIVERHEAD,36-103-0004,AQS,5,45,.,34,30
4/14/20,43,Ozone,Chester,34-027-3001,AQS,5,43,.,22,22
4/15/20,43,Ozone,Leonia,34-003-0006,AQS,2,43,.,27,23
4/16/20,40,Ozone,Monmouth University,34-025-0005,AQS,3,40,.,30,28
4/17/20,44,Ozone,Monmouth University,34-025-0005,AQS,5,44,.,41,37
4/18/20,44,Ozone,RIVERHEAD,36-103-0004,AQS,6,44,.,43,31
4/19/20,50,Ozone,MILLBROOK,36-027-0007,AQS,5,50,.,40,38
4/20/20,43,Ozone,Chester,34-027-3001,AQS,6,43,.,27,42
4/21/20,42,NO2,Elizabeth Lab,34-039-0004,AQS,5,41,.,38,42
4/22/20,40,Ozone,Colliers Mills,34-029-0006,AQS,3,40,.,20,22
4/23/20,40,PM2.5,IS 52,36-005-0110,AQS,5,40,.,40,31
4/24/20,39,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,37,.,39,33
4/25/20,50,PM2.5,Newark Firehouse,34-013-0003,AQS,10,45,.,50,38
4/26/20,41,Ozone,RIVERHEAD,36-103-0004,AQS,5,41,.,27,19
4/27/20,38,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,5,38,.,15,15
4/28/20,44,Ozone,Flemington,34-019-0001,AQS,5,44,.,24,38
4/29/20,47,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,43,.,47,45
4/30/20,47,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,3,47,.,41,25
5/1/20,54,Ozone,RIVERHEAD,36-103-0004,AQS,5,54,.,28,50
5/2/20,40,Ozone,Ramapo,34-031-5001,AQS,3,40,.,24,20
5/3/20,50,Ozone,Ramapo,34-031-5001,AQS,3,50,.,41,28
5/4/20,44,Ozone,Colliers Mills,34-029-0006,AQS,3,44,.,31,31
5/5/20,46,Ozone,Chester,34-027-3001,AQS,5,46,.,20,42
5/6/20,39,Ozone,Colliers Mills,34-029-0006,AQS,5,39,.,27,38
5/7/20,45,Ozone,Chester,34-027-3001,AQS,5,45,.,25,36
5/8/20,40,Ozone,RIVERHEAD,36-103-0004,AQS,5,40,.,23,29
5/9/20,31,Ozone,Chester,34-027-3001,AQS,5,31,.,12,15
5/10/20,46,Ozone,Chester,34-027-3001,AQS,3,46,.,30,17
5/11/20,39,Ozone,MT NINHAM,36-079-0005,AQS,5,39,.,27,36
5/12/20,44,Ozone,BABYLON,36-103-0002,AQS,5,44,.,19,23
5/13/20,47,Ozone,Colliers Mills,34-029-0006,AQS,3,47,.,27,45
5/14/20,51,Ozone,Chester,34-027-3001,AQS,8,51,.,41,51
5/15/20,64,Ozone,Rutgers University,34-023-0011,AQS,3,64,.,56,29
5/16/20,45,Ozone,FRESHKILLS WEST,36-085-0111,AQS,3,45,.,32,27
5/17/20,45,Ozone,MILLBROOK,36-027-0007,AQS,3,45,.,28,13
5/18/20,46,Ozone,Ramapo,34-031-5001,AQS,3,46,.,23,46
5/19/20,44,Ozone,MILLBROOK,36-027-0007,AQS,3,44,.,30,26
5/20/20,44,Ozone,MILLBROOK,36-027-0007,AQS,2,44,.,25,25
5/21/20,49,Ozone,MILLBROOK,36-027-0007,AQS,5,49,17,45,41
5/22/20,46,PM2.5,Newark Firehouse,34-013-0003,AQS,6,46,.,46,36
5/23/20,42,PM2.5,Elizabeth Lab,34-039-0004,AQS,6,39,.,42,27
5/24/20,42,Ozone,MILLBROOK,36-027-0007,AQS,7,42,.,34,17
5/25/20,43,PM2.5,Newark Firehouse,34-013-0003,AQS,5,36,.,43,27
5/26/20,50,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,5,50,.,42,29
5/27/20,42,Ozone,MILLBROOK,36-027-0007,AQS,3,42,5,30,23
5/28/20,35,PM2.5,Newark Firehouse,34-013-0003,AQS,3,20,.,35,23
5/29/20,38,PM2.5,Newark Firehouse,34-013-0003,AQS,3,31,.,38,27
5/30/20,44,Ozone,Monmouth University,34-025-0005,AQS,5,44,.,37,21
5/31/20,34,Ozone,Chester,34-027-3001,AQS,3,34,.,18,8
6/1/20,41,Ozone,Monmouth University,34-025-0005,AQS,5,41,.,24,39
6/2/20,48,Ozone,Monmouth University,34-025-0005,AQS,7,48,16,40,40
6/3/20,57,PM2.5,Newark Firehouse,34-013-0003,AQS,11,54,.,57,40
6/4/20,97,Ozone,Rutgers University,34-023-0011,AQS,14,97,.,45,40
6/5/20,48,PM2.5,IS 52,36-005-0110,AQS,15,43,.,48,39
6/6/20,64,Ozone,QUEENS COLLEGE 2,36-081-0124,AQS,5,64,.,42,26
6/7/20,38,Ozone,RIVERHEAD,36-103-0004,AQS,3,38,.,26,20
6/8/20,41,Ozone,BABYLON,36-103-0002,AQS,6,41,10,24,36
6/9/20,112,Ozone,Rutgers University,34-023-0011,AQS,7,112,.,49,39
6/10/20,100,Ozone,Ramapo,34-031-5001,AQS,7,100,.,61,38
6/11/20,49,PM2.5,IS 52,36-005-0110,AQS,6,36,.,49,29
6/12/20,80,Ozone,BABYLON,36-103-0002,AQS,6,80,.,42,24
6/13/20,51,Ozone,Monmouth University,34-025-0005,AQS,3,51,.,27,8
6/14/20,44,Ozone,Rutgers University,34-023-0011,AQS,2,44,6,21,16
6/15/20,44,Ozone,Flemington,34-019-0001,AQS,3,44,.,32,25
6/16/20,45,Ozone,Flemington,34-019-0001,AQS,3,45,.,33,39
6/17/20,49,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,3,49,.,40,26
6/18/20,31,PM2.5,Fort Lee Near Road,34-003-0010,AQS,3,28,.,31,17
6/19/20,47,Ozone,WHITE PLAINS,36-119-2004,AQS,6,47,.,35,25
6/20/20,74,Ozone,WHITE PLAINS,36-119-2004,AQS,6,74,13,52,32
6/21/20,58,Ozone,WHITE PLAINS,36-119-2004,AQS,7,58,.,46,29
6/22/20,90,Ozone,WHITE PLAINS,36-119-2004,AQS,6,90,.,35,27
6/23/20,93,Ozone,Rockland County,36-087-0005,AQS,7,93,.,53,37
6/24/20,64,Ozone,BABYLON,36-103-0002,AQS,7,64,.,56,36
6/25/20,87,Ozone,WHITE PLAINS,36-119-2004,AQS,6,87,.,41,43
6/26/20,108,Ozone,BABYLON,36-103-0002,AQS,6,108,16,45,40
6/27/20,70,PM2.5,NEWBURGH,36-071-0002,AQS,7,49,.,70,33
6/28/20,67,Ozone,PFIZER LAB SITE,36-005-0133,AQS,15,67,.,52,25
6/29/20,67,Ozone,Monmouth University,34-025-0005,AQS,6,67,.,40,27
6/30/20,46,Ozone,Monmouth University,34-025-0005,AQS,5,46,.,28,37
